Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Day_Category
41564,VLCY-MSBEMUL,VELACHEERY,CHENNAI BEACH,Thursday,Weekday
41565,MSB-VLCY EMU,CHENNAI BEACH,VELACHEERY,Wednesday,Weekday
41566,VLCY-MSBEMUL,VELACHEERY,CHENNAI BEACH,Tuesday,Weekday
41567,MSB-VLCY EMU,CHENNAI BEACH,VELACHEERY,Thursday,Weekday
41568,VLCY-MSBEMUL,VELACHEERY,CHENNAI BEACH,Wednesday,Weekday
41569,MSB-VLCY EMU,CHENNAI BEACH,VELACHEERY,Monday,Weekday
41570,VLCY-MSBEMUL,VELACHEERY,CHENNAI BEACH,Friday,Weekday
41571,MSB-VLCY EMU,CHENNAI BEACH,VELACHEERY,Tuesday,Weekday
41572,VLCY-MSBEMUL,VELACHEERY,CHENNAI BEACH,Thursday,Weekday
41573,MSB-VLCY EMU,CHENNAI BEACH,VELACHEERY,Friday,Weekday
41574,VLCY-MSBEMUL,VELACHEERY,CHENNAI BEACH,Thursday,Weekday
41575,MSB-VLCY EMU,CHENNAI BEACH,VELACHEERY,Tuesday,Weekday
41576,VLCY-MSBEMUL,VELACHEERY,CHENNAI BEACH,Monday,Weekday
41577,MSB-VLCY EMU,CHENNAI BEACH,VELACHEERY,Saturday,Weekend
41578,VLCY-MSBEMUL,VELACHEERY,CHENNAI BEACH,Wednesday,Weekday
41579,MSB-VLCY EMU,CHENNAI BEACH,VELACHEERY,Thursday,Weekday
41580,VLCY-MSBEMUL,VELACHEERY,CHENNAI BEACH,Friday,Weekday
41581,MSB-VLCY EMU,CHENNAI BEACH,VELACHEERY,Thursday,Weekday
41582,VLCY-MSBEMUL,VELACHEERY,CHENNAI BEACH,Tuesday,Weekday
41583,MSB-VLCY EMU,CHENNAI BEACH,VELACHEERY,Monday,Weekday
41584,VLCY-MSBEMUL,VELACHEERY,CHENNAI BEACH,Sunday,Weekend
41585,MSB-VLCY EMU,CHENNAI BEACH,VELACHEERY,Tuesday,Weekday
41586,VLCY-MSBEMUL,VELACHEERY,CHENNAI BEACH,Thursday,Weekday
41587,MSB-VLCY EMU,CHENNAI BEACH,VELACHEERY,Monday,Weekday
41588,VLCY-MSBEMUL,VELACHEERY,CHENNAI BEACH,Sunday,Weekend
41589,MSB-VLCY EMU,CHENNAI BEACH,VELACHEERY,Saturday,Weekend
41590,VLCY-MSBEMUL,VELACHEERY,CHENNAI BEACH,Tuesday,Weekday
41593,MSB-VLCY EMU,CHENNAI BEACH,VELACHEERY,Sunday,Weekend
41594,VLCY-MSBEMUL,VELACHEERY,CHENNAI BEACH,Tuesday,Weekday
41597,MSB-VLCY EMU,CHENNAI BEACH,VELACHEERY,Saturday,Weekend
41598,VLCY-MSB EMU,VELACHEERY,CHENNAI BEACH,Monday,Weekday
41599,MSB-VLCY EMU,CHENNAI BEACH,VELACHEERY,Wednesday,Weekday
41600,MSB-VLCY-EMU,VELACHEERY,CHENNAI BEACH,Tuesday,Weekday
42001,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Sunday,Weekend
42002,MAS-GPD EMU,GUMMIDIPUNDI,MOOR MARKET,Tuesday,Weekday
42003,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Saturday,Weekend
42004,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Tuesday,Weekday
42005,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Saturday,Weekend
42006,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Sunday,Weekend
42007,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Wednesday,Weekday
42008,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Tuesday,Weekday
42009,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Sunday,Weekend
42010,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Wednesday,Weekday
42011,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Tuesday,Weekday
