Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days
98183,PL157,CST-MUMBAI,PANVEL,Sunday
98185,PL 159,CST-MUMBAI,PANVEL,Friday
98189,PL 161,CST-MUMBAI,PANVEL,Thursday
98191,PL 163,CST-MUMBAI,PANVEL,Sunday
98193,PL 165,CST-MUMBAI,PANVEL,Thursday
98195,PL 167,CST-MUMBAI,PANVEL,Monday
98197,PL 169,CST-MUMBAI,PANVEL,Wednesday
98199,PL 171,CST-MUMBAI,PANVEL,Saturday
98201,PL 173,CST-MUMBAI,PANVEL,Sunday
98203,PL175,CST-MUMBAI,PANVEL,Tuesday
98205,PL 177,CST-MUMBAI,PANVEL,Tuesday
98207,PL 179,CST-MUMBAI,PANVEL,Sunday
98209,PL 181,CST-MUMBAI,PANVEL,Thursday
98211,PL 183,CST-MUMBAI,PANVEL,Thursday
98213,PL185,CST-MUMBAI,PANVEL,Wednesday
98215,PL187,CST-MUMBAI,PANVEL,Sunday
98301,BR1,CST-MUMBAI,BELAPUR C.B.D,Sunday
98303,BR3,CST-MUMBAI,BELAPUR C.B.D,Tuesday
98305,BR5,CST-MUMBAI,BELAPUR C.B.D,Wednesday
98307,BR7,CST-MUMBAI,BELAPUR C.B.D,Thursday
98311,BR9,CST-MUMBAI,BELAPUR C.B.D,Monday
98313,BR 11,CST-MUMBAI,BELAPUR C.B.D,Sunday
98315,BR 13,CST-MUMBAI,BELAPUR C.B.D,Wednesday
98317,BR 15,CST-MUMBAI,BELAPUR C.B.D,Sunday
98319,BR17,CST-MUMBAI,BELAPUR C.B.D,Monday
98323,BR19,CST-MUMBAI,BELAPUR C.B.D,Wednesday
98325,BR21,CST-MUMBAI,BELAPUR C.B.D,Tuesday
98327,BR23,CST-MUMBAI,BELAPUR C.B.D,Wednesday
98331,BR25,CST-MUMBAI,BELAPUR C.B.D,Friday
98333,BR 27,CST-MUMBAI,BELAPUR C.B.D,Thursday
98335,BR 29,CST-MUMBAI,BELAPUR C.B.D,Monday
98337,BR 31,CST-MUMBAI,BELAPUR C.B.D,Monday
98339,BR33,CST-MUMBAI,BELAPUR C.B.D,Wednesday
98341,BR 35,CST-MUMBAI,BELAPUR C.B.D,Thursday
98343,BR 37,CST-MUMBAI,BELAPUR C.B.D,Monday
98345,BR 39,CST-MUMBAI,BELAPUR C.B.D,Tuesday
98347,BR 41,CST-MUMBAI,BELAPUR C.B.D,Saturday
98349,BR 43,CST-MUMBAI,BELAPUR C.B.D,Monday
98351,BR 45,CST-MUMBAI,BELAPUR C.B.D,Saturday
98353,BR 47,CST-MUMBAI,BELAPUR C.B.D,Thursday
98357,BR49,CST-MUMBAI,BELAPUR C.B.D,Saturday
98359,BR51,CST-MUMBAI,BELAPUR C.B.D,Thursday
98361,BR 53,CST-MUMBAI,BELAPUR C.B.D,Wednesday
98363,BR 55,CST-MUMBAI,BELAPUR C.B.D,Wednesday
98365,BR 57,CST-MUMBAI,BELAPUR C.B.D,Sunday
98369,BR59,CST-MUMBAI,BELAPUR C.B.D,Wednesday
98371,BR61,CST-MUMBAI,BELAPUR C.B.D,Monday
98373,BR 63,CST-MUMBAI,BELAPUR C.B.D,Wednesday
98375,BR 65,CST-MUMBAI,BELAPUR C.B.D,Thursday
98377,BR 67,CST-MUMBAI,BELAPUR C.B.D,Monday
98379,BR 69,CST-MUMBAI,BELAPUR C.B.D,Friday
98381,BR 71,CST-MUMBAI,BELAPUR C.B.D,Saturday
98501,V 1,CST-MUMBAI,VASHI,Friday
98503,V 3,CST-MUMBAI,VASHI,Saturday
98505,V 5,CST-MUMBAI,VASHI,Thursday
98509,V7,CST-MUMBAI,VASHI,Wednesday
98511,V9,CST-MUMBAI,VASHI,Friday
98513,V11,CST-MUMBAI,VASHI,Saturday
98515,V13,CST-MUMBAI,VASHI,Monday
98517,V15,CST-MUMBAI,VASHI,Sunday
98519,V17,CST-MUMBAI,VASHI,Thursday
98521,V19,CST-MUMBAI,VASHI,Saturday
98523,V 21,CST-MUMBAI,VASHI,Friday
98525,V23,CST-MUMBAI,VASHI,Wednesday
98529,V 25,CST-MUMBAI,VASHI,Friday
98531,V27,CST-MUMBAI,VASHI,Thursday
98533,V 29,CST-MUMBAI,VASHI,Tuesday
98535,V 31,CST-MUMBAI,VASHI,Wednesday
98537,V 33,CST-MUMBAI,VASHI,Friday
98539,V35,CST-MUMBAI,VASHI,Saturday
98541,V 37,CST-MUMBAI,VASHI,Sunday
98543,V 39,CST-MUMBAI,VASHI,Thursday
98545,V 41,CST-MUMBAI,VASHI,Tuesday
98547,V 43,CST-MUMBAI,VASHI,Wednesday
98549,V 45,CST-MUMBAI,VASHI,Wednesday
98551,V 47,CST-MUMBAI,VASHI,Wednesday
98553,V 49,CST-MUMBAI,VASHI,Sunday
98555,V 51,CST-MUMBAI,VASHI,Friday
98557,V 53,CST-MUMBAI,VASHI,Monday
98559,V 55,CST-MUMBAI,VASHI,Wednesday
98561,V 57,CST-MUMBAI,VASHI,Wednesday
98563,V 59,CST-MUMBAI,VASHI,Friday
98565,V 61,CST-MUMBAI,VASHI,Sunday
98567,V 63,CST-MUMBAI,VASHI,Friday
98569,V 65,CST-MUMBAI,VASHI,Saturday
98571,V67,CST-MUMBAI,VASHI,Saturday
98573,V 69,CST-MUMBAI,VASHI,Tuesday
98575,V71,CST-MUMBAI,VASHI,Monday
98577,V73,CST-MUMBAI,VASHI,Sunday
98601,M 1,CST-MUMBAI,MANKHURD,Monday
98603,M 3,CST-MUMBAI,MANKHURD,Saturday
98605,CM1,CST-MUMBAI,CHEMBUR,Thursday
98701,AD1,CST-MUMBAI,RAVLI JN,Thursday
98703,AD3,CST-MUMBAI,RAVLI JN,Tuesday
